Steps,Car 1,Car 2,Car 3
14.607236,-0.024115448,-0.026666667,-0.026666667
15.107659,-0.024115448,-0.026666667,-0.026666667
15.611237,-0.024115448,-0.026666667,-0.026666667
16.114451,-0.024115448,-0.026666667,-0.026666667
16.617906,-0.024115448,-0.026666667,-0.026666667
17.121968,-0.024115448,-0.026666667,-0.026666667
17.62563,-0.024115448,-0.026666667,-0.026666667
18.129624,-0.024115448,-0.026666667,-0.026666667
18.632554,-0.024115448,-0.026666667,-0.026666667
19.135874,-0.024115448,-0.026666667,-0.026666667
19.63956,-0.024115448,-0.026666667,-0.026666667
20.143165,-0.024115448,-0.026666667,-0.026666667
20.646872,-0.024115448,-0.026666667,-0.026666667
21.150514,-0.024115448,-0.026666667,-0.026666667
21.654179,-0.024115448,-0.026666667,-0.026666667
22.161061,-0.024115448,-0.026666667,-0.026666667
22.668122,-0.024115448,-0.026666667,-0.026666667
23.168244,-0.024115448,-0.026666667,-0.026666667
23.669253,-0.024115448,-0.026666667,-0.026666667
24.172582,-0.024115448,-0.026666667,-0.026666667
24.675908,-0.024115448,-0.026666667,-0.026666667
25.178822,-0.024115448,-0.026666667,-0.026666667
Steps,Car 1,Car 2,Car 3
0.502433,3.249683466,2.539435861,2.09336807
1.006134,10.11638915,7.535034319,5.981992296
1.513946,18.36676362,13.47700853,10.54179155
2.016638,26.3555797,19.5512602,15.30673982
2.519966,33.26891554,25.37027276,20.09111487
3.023761,37.49065643,29.3747958,23.57501662
3.527087,40.88281243,33.00242938,26.91854957
4.030507,43.79322432,36.58692012,30.45814324
4.535044,45.65674217,39.25959989,33.30291837
5.038463,47.05539729,41.59239299,35.981267
5.545061,48.04308844,43.52387422,38.38631801
6.055262,48.7354709,45.12028859,40.5518566
6.559668,44.05980877,46.02879136,42.32811655
7.063497,26.52103877,42.22283226,43.02654444
7.566825,8.815018365,32.5725738,41.10648492
8.070644,0.003884384,16.25575045,34.74287158
8.57453,-0.001193792,0.014904922,22.66745545
9.083718,0.001376273,-0.002252812,5.030182248
9.589067,0.000653182,-0.003268794,-0.000611031
10.090276,0.004052537,0.00032408,0.000113094
10.599714,0.009178237,0.000700088,5.05E-05
11.105454,-0.001356394,7.33E-06,1.57E-06
11.609847,-0.002754084,3.96E-05,1.31E-05
12.113176,0.006365471,0.002183041,2.36E-05
12.616848,0.006230559,0.002285147,-0.000178946
13.120634,0.869192652,0.688737174,0.582903708
13.627,5.425104608,4.153252114,3.367732555
14.13585,6.839260434,5.181763898,4.1684219
14.649293,14.05887209,10.35539535,8.142695039
15.154841,21.31246423,15.66154201,12.23634369
15.664437,28.2168021,21.05115165,16.51460303
16.169783,33.89703583,25.93895959,20.57482578
16.671815,38.15626977,30.05191137,24.18394506
17.175053,40.43880198,33.68768185,27.5957094
17.678378,25.53825171,33.14895584,30.13026028
18.182217,11.51260617,27.44451501,30.22898554
18.684357,-0.001868154,15.04022597,26.48949619
19.185952,0.004147513,1.279888788,17.45755669
19.693586,0.002456964,-0.000840102,2.64859126
20.196931,0.007536101,0.001433497,0.000245264
20.702887,0.000221185,-0.00391124,-0.001027541
21.210338,0.009187647,0.000696728,4.99E-05
21.716168,0.006483379,0.002096739,0.000197392
22.225685,3.736270071,2.904890029,2.384458279
22.728375,10.14163354,7.553080521,5.995839147
23.229262,17.02791299,12.49934457,9.788278174
23.732502,24.18309464,17.8480045,13.95235986
24.236123,30.37577704,22.84720164,17.98256188
24.738265,35.32352838,27.26297166,21.71442042
25.249661,39.42746399,31.38900132,25.40594989
25.756439,42.49587198,34.91911821,28.77725317
26.262893,44.59309639,37.68709889,31.6044341
26.77019,46.23863019,22.74456743,30.77039924
27.274114,47.29441862,9.30443894,24.82257469
27.786723,48.0313807,0.003824083,13.87928665
28.289687,48.65549481,0.006424157,0.00213975
28.793486,49.05240233,0.001367705,-0.002264473
29.296814,49.34971042,0.004612135,0.000231703
29.800373,49.54841993,0.00378277,0.000374793
30.304187,49.68617526,3.050146753,2.388624456
30.80602,49.78155712,8.944982709,6.696799684
31.325905,49.84478223,15.53029282,11.41441755
31.829505,49.89171746,22.51928793,16.57283905
32.331888,49.92447076,28.84321723,21.56559593
32.838272,49.94823815,34.37490599,26.37728396
33.340742,49.96345987,38.41123485,30.31528718
33.843929,49.97353627,41.32206822,33.50959884
